Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,Condition,Dag,tx,Weight,Lactation,Visit,Date,FEC,TFEC,month,Plant,farm,time,temp,hum,tx2,FECp,Intervention
KAMCHEZERA,Drug,26549,3,F,1,0,2,2,0,Drug,36.7,NotLactating,26,15/01/2021,2700,,January,,D3,350,,,drugdr,2700,Pre
KAMCHEZERA,Drug,26549,3,F,1,0,2,2,0,Drug,38.1,NotLactating,27,29/01/2021,100,,January,,D3,364,,,drugdr,100,Pre
KAMCHEZERA,Drug,26553,1,F,0,0,4,1,0,Drug,23.1,Lactating,1,31/01/2020,500,500,January,,D6,0,25.10085714,69.71221429,drugdr,500,Pre
KAMCHEZERA,Drug,26559,1,F,0,0,2,1,0,Drug,24.5,Lactating,9,01/01/2021,200,,January,,D26,112,,,drugdr,200,Pre
KAMCHEZERA,Drug,26626,2.5,F,1,0,2,1,0,Drug,27.2,Lactating,1,28/08/2020,300,.,August,,D25,0,,,drugdr,300,Pre
KAMCHEZERA,Drug,26628,4.5,F,0,0,4,1.5,0,Drug,25.9,Lactating,10,01/01/2021,2500,,January,,D25,126,,,drugdr,2500,Pre
KAMCHEZERA,Drug,26628,4.5,F,0,0,4,1.5,0,Drug,20.4,Lactating,13,12/02/2021,850,,February,,D25,168,,,drugdr,850,Pre
KAMCHEZERA,Drug,26629,5.5,F,1,0,2,1,4,Drug,27.2,NotLactating,1,28/08/2020,,.,August,,D25,0,,,drugdr,0,Pre
KAMCHEZERA,Drug,26629,5.5,F,1,0,2,1,0,Drug,28.6,NotLactating,3,25/09/2020,0,.,September,,D25,28,,,drugdr,0,Pre
KAMCHEZERA,Drug,26630,4.5,F,0,0,4,1,0,Drug,27.2,Pregnant,8,04/12/2020,200,,December,,D25,98,,,drugdr,200,Pre
KAMCHEZERA,Drug,26630,4.5,F,0,0,2,1.5,0,Drug,21.8,Lactating,12,29/01/2021,,,January,,D25,154,,,drugdr,0,Pre
KAMCHEZERA,Drug,26631,3,F,0,0,2,1,0,Drug,20.4,NotLactating,2,11/09/2020,50,.,September,,D25,14,,,drugdr,50,Pre
KAMCHEZERA,Drug,26632,3.5,F,1,0,4,2,0,Drug,25.9,Lactating,2,11/09/2020,150,.,September,,D25,14,,,drugdr,150,Pre
KAMCHEZERA,Drug,26632,3.5,F,1,0,2,1,0,Drug,28.6,NotLactating,4,09/10/2020,0,.,October,,D25,42,24.73315278,60.3845625,drugdr,0,Pre
KAMCHEZERA,Drug,26632,3.5,F,1,0,3,2,2,Drug,23.1,Lactating,8,04/12/2020,,,December,,D25,98,,,drugdr,0,Pre
KAMCHEZERA,Drug,26632,3.5,F,1,0,2,2,0,Drug,21.8,NotLactating,10,01/01/2021,400,,January,,D25,126,,,drugdr,400,Pre
KAMCHEZERA,Drug,26632,3.5,F,1,0,3,2,0,Drug,19.1,Lactating,13,12/02/2021,,,February,,D25,168,,,drugdr,0,Pre
KAMCHEZERA,Drug,26633,4.5,F,0,0,4,1.5,0,Drug,29.9,Lactating,8,04/12/2020,2400,,December,,D25,98,,,drugdr,2400,Pre
KAMCHEZERA,Drug,26633,4.5,F,0,0,4,1.5,0,Drug,27.2,NotLactating,12,29/01/2021,6250,,January,,D25,154,,,drugdr,6250,Pre
KAMCHEZERA,Drug,26634,5.5,M,1,0,3,1.5,0,Drug,42.2,,7,20/11/2020,250,,November,,D25,84,,,drugdr,250,Pre
KAMCHEZERA,Drug,26643,3,F,0,0,3,1,0,Drug,27.2,Pregnant,7,20/11/2020,400,,November,,D25,84,,,drugdr,400,Pre
KAMCHEZERA,Drug,26643,3,F,0,0,4,1,0,Drug,27.2,NotLactating,8,04/12/2020,100,,December,,D25,98,,,drugdr,100,Pre
KAMCHEZERA,Drug,26643,3,F,0,0,4,1.5,0,Drug,21.8,NotLactating,12,29/01/2021,3750,,January,,D25,154,,,drugdr,3750,Pre
MKWINDA,Drug,27049,.,F,1,1,2,1.5,0,Drug,35.4,NotLactating,4,22/07/2020,,,July,,D15,42,,,drugdr,0,Pre
MAZINGA,Plant,95601,5.5,F,1,0,2,1.5,0,Drug,35.4,Pregnant,3,05/11/2020,200,,November,kakhobo,P13,28,,,drugpl,200,Pre
MAZINGA,Plant,95601,5.5,F,1,0,2,2,0,Drug,36.7,Lactating,6,17/12/2020,0,,December,kakhobo,P13,70,,,drugpl,0,Pre
MAZINGA,Plant,95601,5.5,F,1,0,3,2,0,Drug,35.9,Lactating,8,14/01/2021,350,,January,kakhobo,P13,98,,,drugpl,350,Pre
MAZINGA,Plant,95627,4,F,1,0,2,1,1,Drug,36.7,Lactating,1,30/01/2020,4300,4300,January,mtawa,P3,0,,,drugpl,4300,Pre
MAZINGA,Plant,95627,4,F,0,0,2,1,0,Drug,32.6,Lactating,3,27/02/2020,1150,1150,February,mtawa,P3,28,24.89010119,76.26380952,drugpl,1150,Pre
MAZINGA,Plant,95627,4,F,0,0,2,1,0,Drug,32.6,Lactating,5,26/03/2020,2800,2800,March,mtawa,P3,56,25.37033333,71.68988148,drugpl,2800,Pre
MKWINDA,Drug,97890,5,F,1,0,3,1,0,Drug,35.4,Lactating,1,04/02/2020,500,500,February,,D11,0,24.10895833,76.944,drugdr,500,Pre
MKWINDA,Drug,97890,5,F,0,0,2,1,0,Drug,35.4,Lactating,2,18/02/2020,0,0,February,,D11,14,23.19270833,88.472875,drugdr,0,Pre
MKWINDA,Drug,97890,5,F,1,0,2,2,0,Drug,36.7,Lactating,25,06/01/2021,0,,January,,D11,337,,,drugdr,0,Pre
MKWINDA,Drug,98263,4,F,0,0,2,1,4,Drug,32.6,Lactating,10,10/06/2020,100,100,June,,D15,127,,,drugdr,100,Pre
KAMCHEZERA,Drug,98465,4,F,0,0,3,1,0,Drug,29.9,Lactating,8,18/12/2020,450,,December,,D26,98,,,drugdr,450,Pre
KAMCHEZERA,Drug,98481,3,F,0,0,2,1.5,4,Drug,35.4,NotLactating,4,27/03/2020,,.,March,,D7,42,25.06941667,76.33333333,drugdr,0,Pre
MKWINDA,Drug,99081,3,F,0,0,3,1,1,Drug,25.1,NotLactating,3,03/03/2020,12950,12950,March,,D11,28,23.5311369,72.02754762,drugdr,12950,Pre
MKWINDA,Drug,99083,4,F,0,0,3,1,0,Drug,31.3,Lactating,4,17/03/2020,850,850,March,,D14,42,23.77336905,73.37760714,drugdr,850,Pre
MKWINDA,Drug,99083,4,F,1,0,3,1,0,Drug,36.7,Lactating,5,31/03/2020,0,0,March,,D14,56,23.27125,64.34808333,drugdr,0,Pre
MKWINDA,Drug,99083,4,F,1,0,2,1,0,Drug,38.1,Pregnant,22,25/11/2020,,,November,,D14,295,,,drugdr,0,Pre
MKWINDA,Drug,99083,4,F,1,0,3,1,3,Drug,35.4,NotLactating,24,23/12/2020,,,December,,D14,323,,,drugdr,0,Pre
MKWINDA,Drug,99083,4,F,0,0,3,1,0,Drug,32.6,NotLactating,26,20/01/2021,,,January,,D14,351,,,drugdr,0,Pre
MKWINDA,Drug,141m,4,F,1,0,4,1,4,Drug,29.9,NotLactating,2,17/03/2020,2100,2150,March,,D17,14,23.77336905,73.37760714,drugdr,2100,Pre
MKWINDA,Drug,141m,4,F,1,0,3,1,0,Drug,29.9,NotLactating,3,31/03/2020,0,0,March,,D17,28,23.27125,64.34808333,drugdr,0,Pre
